Full Name,Field,Sex,Birth Year,Place of Birth,Edition of First Appearance,QID,date of birth,VIAF,BND,Date of Death 1,Last Name,First Name,Middle Name,ImagePulledInFromWikidata,OccupationsSeparatedByCommas,TopRankOccupation
William Francis Patrick Napier,"Military, Politics, and Law",Male,1785,"Celbridge, Kildare, Ireland",5,Q637730,1785-12-07,25337800,19772,1860-02-12,Napier,Sir W.F.P.,,https://commons.wikimedia.org/wiki/File:William-Francis-Patrick-Napier.jpg,"military personnel, writer, military historian, military commander",military personnel
Napoleon III,"Military, Politics, and Law",Male,1808,"Paris, France",9,Q7721,1808-04-20,88934487,,1873-01-09,Napoleon,Louis,,https://commons.wikimedia.org/wiki/File:Napoleon_III_by_Mayer_&_Pierson_c1860_(cropped).png,"politician, writer",politician
Thomas Nashe,Literature,Male,1567,"Lowestoft, Suffolk, England",9,Q443042,1567-11-01,1257713,19790,1601,Nash,Thomas,,https://commons.wikimedia.org/wiki/File:Thomas-Nashe.jpg,"playwright, writer, novelist, poet",playwright
Charles Neaves,"Military, Politics, and Law",Male,1800,"Edinburgh, Scotland, United Kingdom",10,Q5081216,1800,23743856,19836,1876,Neaves,Lord Charles,,,"judge, poet",judge
Horatio Nelson,"Military, Politics, and Law",Male,1758,"Burnham Thorpe, Norfolk, England, United Kingdom",9,Q83235,1758-09-29,76324981,19877,1805-10-21,Nelson,Horatio,,https://commons.wikimedia.org/wiki/File:HoratioNelson1.jpg,"naval officer, politician",naval officer
Henry Newbolt,Literature,Male,1862,"Bilston, West Midlands, Wolverhampton, United Kingdom",10,Q3402352,1862-06-06,59881125,35212,1938-04-19,Newbolt,Henry,J,https://commons.wikimedia.org/wiki/File:Sir_Henry_John_Newbolt_by_George_Charles_Beresford_(1900s-1910s).jpg,"military historian, historian, writer, journalist, poet, novelist",military historian
John Henry Newman,Religion,Male,1801,"London, England, United Kingdom",10,Q44490,1801-02-21,17227308,20023,1890-08-11,Newman,John,H,"https://commons.wikimedia.org/wiki/File:John_Henry_Newman_by_Sir_John_Everett_Millais,_1st_Bt.jpg","theologian, poet, Anglican priest, Catholic priest, novelist, university teacher, hymnwriter, philosopher, writer",theologian
Isaac Newton,Other Sciences,Male,1643,"Woolsthorpe Manor, Woolsthorpe-by-Colsterworth, Lincolnshire, England, United Kingdom",5,Q935,1642-12-25,22146457,20059,1727-03-31,Newton,Sir Isaac,,https://commons.wikimedia.org/wiki/File:GodfreyKneller-IsaacNewton-1689.jpg,"mathematician, philosopher",mathematician
Friedrich Nietzsche,History and Philosophy,Male,1844,"Röcken, Germany",10,Q9358,1844-10-15,89798474,,1900-08-25,Nietzsche,Friedrich,W,https://commons.wikimedia.org/wiki/File:Nietzsche187a.jpg,"philosopher, poet, writer, composer, pedagogue, classical philologist, music critic, classical scholar",philosopher
Thomas Noel,Literature,Male,1799,"Kirkby Mallory, Leicestershire, England, UK",8,Q7792760,1799-05-11,56113925,20236,1861-05-22,Noel,Thomas,,,"poet, writer",poet
Roden Noel,Literature,Male,1834,"London, England, United Kingdom",10,Q2160989,1834-08-27,76438424,20235,1894-05-26,Noel,Roden,B.W.,https://commons.wikimedia.org/wiki/File:Roden_Noel_by_Richmond.jpg,"writer, poet",writer
John Norris,History and Philosophy,Male,1657,"England, United Kingdom",1,Q3182195,1657,22229289,20277,1711,Norris,John,,,"philosopher, poet, theologian",philosopher
Caroline Elizabeth Sarah Norton,Literature,Female,1808,"London, England, United Kingdom",10,Q850141,1808-03-22,76361166,20339,1877-06-15,Norton,Caroline,E,"https://commons.wikimedia.org/wiki/File:Caroline_Norton_(1808-77)_society_beauty_and_author_by_GH,_Chatsworth_Coll..jpg","writer, poet, playwright, composer, novelist, editor",writer
Alfred Noyes,Literature,Male,1880,"Wolverhampton, West Midlands, England",10,Q1390604,1880-09-16,34584944,35266,1958-06-28,Noyes,Alfred,,https://commons.wikimedia.org/wiki/File:Alfred_Noyes.jpg,"poet, writer, novelist, university teacher, playwright, science fiction writer",poet
Theodore O'Hara,Literature,Male,1820,"Danville, Boyle County, Kentucky, United States",5,Q7781931,1820-02-11,32833027,,1867-06-06,O’Hara,Theodore,,https://commons.wikimedia.org/wiki/File:Theodore_OHara.JPG,poet,poet
Kane O'Hara,Arts,Male,1712,Ireland,5,Q6361840,1712,52601749,20635,1782-06-17,O’Hara,Kane,,,"playwright, composer",playwright
John O'Keeffe,Literature,Male,1747,"Dublin, Ireland",8,Q6250929,1747-06-24,,20658,1833-02-04,O’Keefe,John,,https://commons.wikimedia.org/wiki/File:John_O'Keeffe_by_Thomas_or_William_Lawranson.jpg,"actor, writer",actor
Dennis O'Kelly,Society,Male,1728,"Connacht, Ireland",9,Q1189401,1728,49101272,20660,1787,O’Kelley,Captain,,https://commons.wikimedia.org/wiki/File:Dennis_O'Kelly.jpg,animal breeder,animal breeder
Barry Edward O'Meara,Other Sciences,Male,1786,Ireland,8,Q2885734,1786,1.00E+08,20755,1836-06-03,O’Meara,Barry,E,"https://commons.wikimedia.org/wiki/File:Barry_Edward_O'Meara,_holding_a_copy_of_his_book,_A_Voice_From_St._Helena_(1822).jpg","surgeon, writer",surgeon
John Boyle O'Reilly,Literature,Male,1844,"County Meath, Ireland",10,Q12064924,1844-06-28,37800192,20823,1890-08-10,O’Reilly,John,B,https://commons.wikimedia.org/wiki/File:John_Boyle_O'Reilly_cph.3a38519.jpg,"writer, poet",writer
Arthur O'Shaughnessy,Literature,Male,1844,"London, England, United Kingdom",10,Q710896,1844-03-14,22975288,20893,1881-01-30,O’Shaughnessy,Arthur,W.E.,https://commons.wikimedia.org/wiki/File:Arthur_O'Shaughnessy_-_portrait_2.jpg,"poet, zoologist, writer, herpetologist",poet
John Oldham,Literature,Male,1653,"Shipton Moyne, England, UK",9,Q4027184,1653-08-09,46885246,20687,1683-12-09,Oldham,John,,https://commons.wikimedia.org/wiki/File:John_Oldham.JPG,"translator, poet, writer",translator
William Oldys,History and Philosophy,Male,1696,"London, England, United Kingdom",7,Q8016330,1696-07-14,42182921,20699,1761-04-15,Oldys,William,,"https://commons.wikimedia.org/wiki/File:Portrait_of_William_Oldys,_1795,_by_John_Sewell,_NPG.png","antiquarian, writer",antiquarian
"Roger Boyle, 1st Earl of Orrery",Literature,Male,1621,"Lismore, Waterford, Ireland",7,Q1345535,1621-04-25,73979816,3138,1679-10-16,Orrery,R,B,"https://commons.wikimedia.org/wiki/File:Roger_Boyle,_1st_Earl_of_Orrery_1571466001_(cropped).jpg","writer, playwright, politician",writer
Thomas Otway,Literature,Male,1652,"Trotton with Chithurst, England, United Kingdom",1,Q955217,1652-03-03,56618493,20944,1685-04-14,Otway,Thomas,,https://commons.wikimedia.org/wiki/File:William_Blake_-_Thomas_Otway_-_Manchester_City_Gallery_-_Tempera_on_canvas_c_1800.jpg,"playwright, poet, writer, translator",playwright
Thomas Overbury,Literature,Male,1581,"Warwickshire, England, United Kingdom",3,Q1790396,1581-06-18,12525071,20966,1613-09-14,Overbury,Sir Thomas,,https://commons.wikimedia.org/wiki/File:Tho_overbury.jpg,"poet, writer, traveler",poet
Ovid,Literature,Male,-43-03-20,"Sulmona, Italy",7,Q7198,-43-03-20,88342447,,17,Ovid,,,https://commons.wikimedia.org/wiki/File:Ovid_by_an_anonymous_sculptor.jpg,poet,poet
Axel Oxenstierna,"Military, Politics, and Law",Male,1583,"Uppsala, Uppsala County, Sweden",7,Q155127,1583-06-16,69254716,,1654-08-28,Oxenstiern,,,https://commons.wikimedia.org/wiki/File:Axel_Oxenstierna_1635.jpg,"diplomat, military personnel, land owner, politician",diplomat
Thomas Paine,Literature,Male,1737,"Thetford, Norfolk, England, United Kingdom",1,Q126462,1737-01-29,4934659,21133,1809-06-08,Paine,Thomas,,https://commons.wikimedia.org/wiki/File:Thomas_Paine_rev1.jpg,"philosopher, politician, writer, entrepreneur, journalist, prose writer, opinion journalist",philosopher
"Robert Treat Paine, Jr.",Literature,Male,1773,"Boston, Massachusetts, United States",5,Q7350460,1773-12-09,2.35E+08,,1811-11-13,Paine Jr.,Robert,Treat,https://commons.wikimedia.org/wiki/File:R.T._(Robert_Treat)_Paine_(NYPL_Hades-251014-465416)_(cropped).jpg,"poet, writer",poet
"José Rebolledo de Palafox, 1st Duke of Saragossa","Military, Politics, and Law",Male,1776,"Zaragoza, Spain",1,Q332481,1775-10-28,40583871,,1847-02-15,Palafox,Don,Joseph,https://commons.wikimedia.org/wiki/File:José_de_Palafox_por_Goya_(Prado).jpg,"military leader, politician",military leader
William Paley,History and Philosophy,Male,1743,"Peterborough, England, United Kingdom",7,Q433739,1743-07-14,19975235,21155,1805-05-25,Paley,William,,https://commons.wikimedia.org/wiki/File:William_Paley_by_George_Romney.jpg,"philosopher, theologian, university teacher, writer",philosopher
Francis Turner Palgrave,Literature,Male,1824,"Great Yarmouth, Norfolk, England, United Kingdom",10,Q516497,1824-09-28,14867502,21158,1897-10-24,Palgrave,Francis,T,https://commons.wikimedia.org/wiki/File:Francis_Turner_Palgrave.jpg,"writer, poet, literary critic, university teacher",writer
Antoine-Léopold de Brunet,"Military, Politics, and Law",Male,1762,"Albi, Tarn, France",9,Q38201830,1762-11-14,,,1834-01-22,Panat,Chevalier de,,,naval officer,naval officer
Julia Pardoe,Literature,Female,1806,"Beverley, Yorkshire, England",8,Q822155,1806-12-04,74664391,21259,1862-11-26,Pardoe,Julia,,https://commons.wikimedia.org/wiki/File:Julia_Pardoe_autograph.jpg,"novelist, writer",novelist
Theodore Parker,Society,Male,1810,"Lexington, Middlesex County, Massachusetts, United States",7,Q709002,1810-08-24,1.22E+08,,1860-05-10,Parker,Theodore,,https://commons.wikimedia.org/wiki/File:Theodore_Parker_BPL_c1855-crop.jpg,"theologian, writer",theologian
Martin Parker,Literature,Male,1600,United Kingdom,3,Q6776341,1624,1.02E+08,21326,1647,Parker,Martyn,,,"songwriter, writer",songwriter
Edward Harper Parker,"Military, Politics, and Law",Male,1849,united Kingdom,10,Q5343324,1849-07-03,34848121,,1926,Parker,Ewdard,H,,"barrister, linguist, diplomat",barrister
Thomas Parnell,Literature,Male,1679,"Dublin, Ireland",1,Q2517940,1679-09-11,32041540,21390,1718-10-24,Parnell,Thomas,,https://commons.wikimedia.org/wiki/File:Thomas_Parnell.jpg,"poet, writer, essayist, translator",poet
Thomas William Parsons,Literature,Male,1819,"Boston, Massachusetts, United States",10,Q3990739,1819-08-18,40860640,,1892-09-03,Parsons,Thomas,W,,"poet, dentist, translator, writer",poet
Blaise Pascal,Other Sciences,Male,1623,"Clermont-Ferrand, Puy-de-Dôme, France",7,Q1290,1623-06-19,29538862,,1662-08-19,Pascal,,,https://commons.wikimedia.org/wiki/File:FR-631136102_GRA_6025_Portrait_de_Blaise_Pascal_par_Edelinck_(cropped).jpg,"mathematician, philosopher, theologian, physicist, writer, French moralist, statistician",mathematician
John Howard Payne,Literature,Male,1791,"New York City, New York, United States",3,Q4401542,1791-06-09,34804310,,1852-04-10,Payne,J,Howard,https://commons.wikimedia.org/wiki/File:Johnhowardpayneportrait.png,"diplomat, stage actor, writer, lyricist, songwriter, poet, playwright, translator, librettist",diplomat
George Peele,Literature,Male,1556,"London, England, United Kingdom",5,Q704626,1556,,21768,1596-11-07,Peele,George,,,"playwright, writer, poet, actor",playwright
James Gates Percival,Literature,Male,1795,"Berlin, Connecticut, United States",8,Q1680441,1795-09-15,77364858,,1856-05-02,Percival,James,G,https://commons.wikimedia.org/wiki/File:James_Gates_Percival_by_his_brother.png,"poet, university teacher, writer, geologist, surgeon",poet
Thomas Percy,Literature,Male,1729,"Bridgnorth, Shropshire",1,Q712930,1729-04-13,68971787,21959,1811-09-30,Percy,Bishop Thomas,,https://commons.wikimedia.org/wiki/File:Thomas_Percy.jpg,"poet, antiquarian seller, priest, writer, musicologist, translator",poet
Jean Sirmond,Literature,Male,1589,"Riom, Puy-de-Dôme, France",7,Q1219274,1589,7438501,,1649,Pere,Sirmond,,https://commons.wikimedia.org/wiki/File:Жан_Сирмон.PNG,"poet, historian",poet
Nora Perry,Literature,Female,1831,"Dudley, Massachusetts, United States",10,Q7050140,1831,3.05E+08,,1896-05-13,Perry,Nora,,https://commons.wikimedia.org/wiki/File:Portrait_of_Nora_Perry.jpg,"novelist, writer, poet, journalist, children's writer",novelist
Oliver Hazard Perry,"Military, Politics, and Law",Male,1785,"Rhode Island, United States",7,Q580513,1785-08-23,8849268,,1819-08-23,Perry,Oliver,H,https://commons.wikimedia.org/wiki/File:Stuart-Perry_portrait.jpg,military officer,military officer
Persius,Literature,Male,1934,"Volterra, Italy",8,Q332785,1934-12-04,1.00E+08,,1962-11-24,Persius,,,https://commons.wikimedia.org/wiki/File:Aulus_Persius_Flaccus.jpeg,"poet, writer, philosopher",poet
Phaedrus,Literature,Male,-20,"Central Macedonia, Greece",5,Q52166,-20,1.00E+08,,50,Phaedrus,,,https://commons.wikimedia.org/wiki/File:Phaedrus_Fabulist_1745_engraving.jpg,"writer, poet",writer
Wendell Phillips,"Military, Politics, and Law",Male,1811,"Boston, Massachusetts, United States",9,Q530310,1811-11-29,2493397,,1884-02-02,Phillips,Wendell,,https://commons.wikimedia.org/wiki/File:Wendell_Phillips_by_Brady.jpg,"jurist, politician, lawyer, writer",jurist
Charles Phillips,"Military, Politics, and Law",Male,1787,"Sligo, Ireland",8,Q5081637,1787,49248117,22147,1859,Phillips,Charles,,https://commons.wikimedia.org/wiki/File:Charles_Phillips_Woolnoth.jpg,"author, barrister",author
John Philips,Literature,Male,1676,"Oxfordshire, England, United Kingdom",1,Q3182294,1676-12-30,38788,22123,1709-02-15,Phillips,John,,https://commons.wikimedia.org/wiki/File:John_Philips_from_NPG.jpg,"poet, writer",poet
Ambrose Philips,Literature,Male,1674,"Shropshire, United Kingdom",5,Q2404968,1674,49250263,22119,1749-06-18,Phillips,Ambrose,,https://commons.wikimedia.org/wiki/File:Ambrose-philips.jpg,"poet, politician, playwright, writer",poet
Philostratus,History and Philosophy,Male,170,"Lemnos, Greece",7,Q2274948,170,2.51E+08,,250,Philostratus,,,,"writer, sophist, orator, philosopher",writer
John Pierpont,Literature,Male,1785,"Litchfield, Connecticut, United States",5,Q2742184,1785-04-06,3.05E+08,,1866-08-27,Pierpont,John,,https://commons.wikimedia.org/wiki/File:John_Pierpont_by_Mathew_Brady.jpg,"poet, teacher, merchant, priest, writer",poet
Edward Coote Pinkney,Literature,Male,1802,"London, England, United Kingdom",10,Q5342403,1802-10-01,49081698,,1828-04-11,Pinckney,Edward,C,https://commons.wikimedia.org/wiki/File:Edward_Coote_Pinkney_frontispiece.jpg,"lyricist, jurist, poet, writer",lyricist
Charles Cotesworth Pinckney,"Military, Politics, and Law",Male,1746,"Charleston, South Carolina, United States",3,Q405463,1746-02-25,53144520,68644,1825-08-16,Pinckney,Charles,Cotesworth,https://commons.wikimedia.org/wiki/File:CharlesCPinckney.png,"diplomat, politician, military personnel, lawyer",diplomat
"William Pitt, 1st Earl of Chatham","Military, Politics, and Law",Male,1708,"London, England, United Kingdom",4,Q208663,1708-11-15,34466316,22337,1778-05-11,Pitt,William,,"https://commons.wikimedia.org/wiki/File:William_Pitt,_1st_Earl_of_Chatham_after_Richard_Brompton.jpg",politician,politician
William Pitt the Younger,"Military, Politics, and Law",Male,1759,"Kent, England, United Kingdom",9,Q128902,1759-05-28,72190413,22338,1806-01-23,Pitt,William (the younger),,https://commons.wikimedia.org/wiki/File:OlderPittThe_Younger_crop.jpg,"politician, lawyer",politician
Plautus,Literature,Male,-254,"Sarsina, Italy",7,Q47160,-254,66462281,,-184,Plautus,,,https://commons.wikimedia.org/wiki/File:Plautus_18th_century_engraving_(cropped).jpg,"comedy writer, playwright, writer",comedy writer
John Playford,Arts,Male,1623,"Norwich, Norfolk, England, United Kingdom",7,Q1282455,1623,59270608,22374,1686-12-01,Playford,John,,https://commons.wikimedia.org/wiki/File:John_Playford_by_David_Loggan.jpg,"composer, music publisher, musicologist, music theorist, choreographer, bookseller, printer",composer
Pliny the Elder,History and Philosophy,Male,23,"Como, Italy",9,Q82778,20,1.00E+08,,1979-08-24,Pliny the Elder,,,https://commons.wikimedia.org/wiki/File:Grande_Illustrazione_del_Lombardo_Veneto_Vol_3_Plinio_Secondo_300dpi.jpg,"writer, historian, naturalist, military personnel, poet, philosopher, art historian, civil servant, military commander",writer
Pliny the Younger,"Military, Politics, and Law",Male,1961,"Como, Italy",9,Q168707,61,10638270,,113,Pliny the Younger,,,https://commons.wikimedia.org/wiki/File:Plinio_il_Giovane.jpg,"writer, politician, poet, lawyer, historian, military personnel, official, jurist, civil servant",writer
Plutarch,Literature,Male,46,"Chaeronea, Greece",3,Q41523,40,2.69E+08,,127,Plutarch,,,https://commons.wikimedia.org/wiki/File:Plutarch_head_only.jpg,"essayist, priest, magistrate, biographer, historian, writer, philosopher",essayist
Edgar Allan Poe,Literature,Male,1809,"Boston, Massachusetts, United States",5,Q16867,1809-01-19,60351476,,1849-10-07,Poe,Edgar,A,"https://commons.wikimedia.org/wiki/File:Edgar_Allan_Poe,_circa_1849,_restored,_squared_off.jpg","poet, writer, essayist, literary critic, novelist",poet
Robert Pollok,Literature,Male,1798,"Renfrewshire, Scotland",1,Q7348957,1798-10-19,75342059,22481,1827-09-15,Pollok,Robert,,"https://commons.wikimedia.org/wiki/File:Robert_Pollok_Centenary_Memorial,_Mearns_Road,_Loganswell,_Renfrewshire.jpg","writer, poet",writer
John Pomfret,Literature,Male,1667,"Luton, United Kingdom",5,Q6253129,1667,39721401,22485,1702,Pomfret,John,,,"poet, writer",poet
Walter Pope,Other Sciences,Male,1627,"Northamptonshire, England, United Kingdom",3,Q7965857,1627,12647423,22536,1714,Pope,Dr. Walter,,,astronomer,astronomer
Alexander Pope,Literature,Male,1688,"City of London, London, England, United Kingdom",1,Q164047,1688-05-21,61551003,22526,1744-05-30,Pope,Alexander,,https://commons.wikimedia.org/wiki/File:Alexander_Pope_by_Michael_Dahl.jpg,"poet, literary historian, translator, writer, philosopher",poet
Horace Porter,"Military, Politics, and Law",Male,1837,"Huntingdon, Pennsylvania, United States",9,Q3140470,1837-04-15,77116317,,1921-05-29,Porter,Horace,,https://commons.wikimedia.org/wiki/File:Gen._Horace_Porter_(4227901105)_(3x4a).jpg,"military officer, diplomat, writer",military officer
DNE,,,,,8,,,,,,Porter,Mrs David,,,,
Beilby Porteus,Religion,Male,1731,"York, United Kingdom",1,Q4881237,1731-05-08,42188951,22584,1809-05-13,Porteus,Beilby,,https://commons.wikimedia.org/wiki/File:Beilby_porteus_engraving.jpg,priest,priest
Henry Codman Potter,Religion,Male,1835,"Schenectady, New York, United States",9,Q5719067,1835-05-25,15553452,,1908-07-21,Potter,Henry,C,https://commons.wikimedia.org/wiki/File:Henry_Codman_Potter_-_Bischof.jpg,"priest, theologian, writer",priest
